 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 435 14 1 ZTF_g 453468665315 0 2.3464 99.6952 14.4867 26.2309 0.00340088 0.0468383 -0.0608012 0.00146731 45 30. 0.084635 0.07769 19.355 26.2309 1 2458207.968669 435120153 44.1075164208038 73.5755684644661 0.666858635287976 0.968698228424575 94.8883738511256 126.565748580277 0.754765436778628 1.07732775232947 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 10 487 4 2 ZTF_g 453505601415 0 1.9691 129.524 11.6769 26.0645 0.00211625 0.0451238 -0.0160373 0.00086599 98 30. 0.052179 0.06014 19.5755 26.0645 1 2458208.0056019 487120114 23.4453897080841 60.4832210198183 0.43119860353497 1.03343235897058 -11.1938885501863 105.802962178135 -0.106511952043816 1.09072545675016 null null null null null 2458206.009410 2458273.943530 57
 11 435 14 1 ZTF_g 453527085315 0 2.2812 103.187 13.4734 26.2815 0.00445086 0.0595912 -0.0445376 0.00188361 56 30. 0.078711 0.07769 19.5209 26.2815 1 2458208.0270833 435120153 1.2560338339112 70.6673539808279 0.0197713948363181 0.985639798909374 -3.16583665210167 118.578570064996 -0.0268780332091433 1.10536486329908 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 12 435 14 1 ZTF_g 454449545315 0 2.1042 63.0226 22.2261 25.823 0.00415984 0.0312301 -0.0784233 0.00198106 11 30. 0.089476 0.097903 18.5744 25.823 1 2458208.9495486 435120153 6.24175979157439 108.08997372251 0.0642356970279902 1.09469735603524 -61.5444566231335 191.085777357866 -0.324246853618039 1.08742719028815 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 13 435 14 1 ZTF_g 454507745315 33554432 2.3123 91.133 16.4497 26.127 0.0065783 0.053736 -0.0161474 0.00294081 31 30. 0.083011 0.084943 19.1663 26.127 1 2458209.0077431 435120153 -95.8115055351179 86.1116419955097 -1.23768633228399 1.07083559128836 -330.582339279048 139.121134425538 -2.39222337949125 1.12173965268865 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 14 487 4 2 ZTF_g 454508191415 0 2.1217 115.159 16.1107 25.833 0.00773442 0.047605 0.0603375 0.00350466 34 30. 0.06033 0.074482 18.8887 25.833 1 2458209.0081944 487120114 18.5931366192267 91.4815744513292 0.226086083735046 1.02072606523377 -72.314839153797 146.568676471643 -0.496708338430077 1.13254971297348 null null null null null 2458206.009410 2458273.943530 57
 15 435 14 1 ZTF_g 455512105315 0 2.3465 97.7285 14.06 26.1968 0.00324337 0.0446025 -0.0138672 0.00143779 41 30. 0.091115 0.084653 19.3972 26.1968 1 2458210.0121065 435120153 58.0176284342071 86.2715937805409 0.748078119308454 0.954086362225885 149.84820290295 138.182617837399 1.091725149892 1.13203216811933 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 16 487 4 2 ZTF_g 455514031415 0 2.5454 128.683 13.3931 25.9502 0.0090311 0.0664197 0.0411848 0.00389299 49 30. 0.060848 0.080374 19.1304 25.9502 1 2458210.0140394 487120114 -61.729987984418 83.7321060862996 -0.820085207966099 0.920445299353733 -166.061764608264 128.837522838959 -1.29760489384926 1.15788114974554 null null null null null 2458206.009410 2458273.943530 57
 17 487 4 2 ZTF_g 455524651415 33554432 2.9911 130.808 13.6229 26.0826 0.00438151 0.0498362 -0.0182088 0.0018971 53 30. 0.064769 0.076661 19.2347 26.0826 1 2458210.0246528 487120114 108.926929637688 83.1273848735134 1.45762545912637 1.05927756239977 200.727009767207 127.785766409866 1.58138831424027 1.16644903814534 null null null null null 2458206.009410 2458273.943530 57
 18 486 1 3 ZTF_g 456462620315 0 2.488 96.6415 13.3998 26.0366 0.00427145 0.0546691 -0.0318209 0.00192149 62 30. 0.062598 0.070951 19.1906 26.0366 1 2458210.9626273 486120103 -73.276197080577 72.8038723808655 -1.1196009116589 0.959727284724697 -123.398149747861 118.81451008391 -1.04557299692083 1.08183728350957 0.887391318589178 22.5659999370575 0.305000007152557 0.899999976158142 -0.670000016689301 2458205.029514 2458334.802222 0
 19 486 1 3 ZTF_g 456487140315 0 2.9688 99.7621 12.9092 26.0136 0.00631981 0.0600714 0.0137192 0.00283662 50 30. 0.06635 0.067692 19.066 26.0136 1 2458210.9871412 486120103 -146.908780311021 81.1811086758862 -2.0130176189742 0.919060122240703 -195.105188599353 123.007689222439 -1.59680451288486 1.13405943303743 0.887391318589178 22.5659999370575 0.305000007152557 0.899999976158142 -0.670000016689301 2458205.029514 2458334.802222 0
 20 487 4 2 ZTF_g 456506181415 0 2.0116 130.582 12.7223 26.1206 0.00467903 0.06602 -0.0686944 0.00194044 90 30. 0.048706 0.064023 19.5409 26.1206 1 2458211.0061806 487120114 28.0466703720684 61.5715872525805 0.506705667651485 1.0738671997542 10.5008958508505 104.432622914311 0.101229095789812 1.09316009390748 null null null null null 2458206.009410 2458273.943530 57
 21 435 14 1 ZTF_g 456507555315 0 2.0862 101.465 13.1783 26.3727 0.00324159 0.0489406 -0.097831 0.00136673 50 30. 0.0678 0.078659 19.7406 26.3727 1 2458211.0075579 435120153 126.424029512997 64.6381965327843 2.17568089860862 1.01146012994972 286.68464981547 110.064904646903 2.62222993198654 1.09695313497655 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 22 435 14 1 ZTF_g 456525785315 0 2.147 102.338 15.775 26.3598 0.00617398 0.061057 -0.0944312 0.00270523 42 30. 0.082724 0.08677 19.4824 26.3598 1 2458211.025787 435120153 172.102618049276 84.2372337230461 2.2726794315084 0.921592880019635 244.724802686136 141.820562677674 1.73721661838556 1.09765205727139 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 23 487 4 2 ZTF_g 456526711415 0 2.1205 131.516 15.6348 26.0613 0.00705989 0.0630482 -0.0277875 0.00300901 54 30. 0.047625 0.063451 19.2127 26.0613 1 2458211.026713 487120114 34.6569353652083 85.3171738215979 0.451864784755828 0.954513186777841 87.4510412261775 141.652188285653 0.621522548192362 1.1075082254004 null null null null null 2458206.009410 2458273.943530 57
 24 487 4 2 ZTF_g 457484141415 0 3.7213 123.884 13.3215 25.8762 0.0442119 0.0591408 0.0861136 0.021159 16 30. 0.073845 0.092147 18.7111 25.8762 1 2458211.9841435 487120114 -7.16470877524995 97.1990424776735 -0.0819957526593794 1.07110896490774 92.9082091898344 126.602193923985 0.738801978268667 1.19484212357714 null null null null null 2458206.009410 2458273.943530 57
 25 487 4 2 ZTF_g 457516961415 8 4.6856 126.247 12.7591 26.3241 0.064993 0.0402824 -0.218106 0.0320352 5 30. 0.084795 0.100242 18.9733 26.3241 1 2458212.0169676 487120114 69.4101891141485 116.639646197329 0.661960133904656 0.928779381430119 59.2591431409515 139.144170856366 0.428751391540926 1.31475600057477 null null null null null 2458206.009410 2458273.943530 57
 26 435 14 1 ZTF_g 457517885315 8 4.7736 99.6566 13.3865 26.0483 0.0108881 0.0148696 0.114054 0.00678932 5 30. 0.136885 0.132375 18.6469 26.0483 1 2458212.0178819 435120153 129.540792934326 126.556348828318 1.13861634877941 0.942196501674012 102.198381124468 149.254576368539 0.68933694098108 1.31823582339498 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 27 487 4 2 ZTF_r 462507451415 0 3.5699 156.038 9.26885 26.0374 0.000779368 0.0458379 0.0560535 0.000289724 370 30. 0.107433 0.098398 19.413 26.0374 1 2458217.0074537 487120214 -21.4882770441945 62.5608919467124 -0.382079259824461 0.978307036813679 -33.0453413678935 88.0127303258818 -0.377989678539536 1.18675928345372 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 28 486 1 3 ZTF_r 462507920315 8 4.766 164.417 9.18391 26.0706 0.00124314 0.0559412 0.043349 0.00048281 245 30. 0.123825 0.119084 19.2217 26.0706 1 2458217.0079282 486120203 -1.87299362315607 64.7966399697713 -0.0321542670036124 1.05940138029591 -18.3133211793669 86.1432022441255 -0.214023416484061 1.23574609804272 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 29 435 14 1 ZTF_r 463484025315 0 2.2066 210.288 7.9476 26.2401 0.000427303 0.0269195 0.0537999 0.000169142 109 30. 0.061876 0.069754 20.164 26.2401 1 2458217.9840278 435120253 -29.6025665150848 35.2256703921318 -0.934813336550602 1.09913876297975 -49.5745428526272 61.8811135017772 -0.806521205368631 1.06886312670752 0.328695575684454 21.1620000839233 0.0869999974966049 1.03600001335144 -0.0390000008046627 2458217.984028 2458277.913634 0
 30 487 4 2 ZTF_r 463484491415 0 2.0109 158.627 7.80688 26.0386 0.000268201 0.0264205 0.068583 9.92778e-05 375 30. 0.059284 0.057826 20.1286 26.0386 1 2458217.9844907 487120214 30.0476725916862 33.4440545880315 0.999416961793222 0.929795145049531 66.35774128521 59.3091986921945 1.12637948182976 1.07406568071982 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 31 435 14 1 ZTF_r 463505265315 0 2.0648 212.801 8.02676 26.2366 0.00046314 0.0278984 0.0549017 0.000182261 110 30. 0.059498 0.065368 20.2717 26.2366 1 2458218.0052662 435120253 -45.8586022592647 34.7478747168438 -1.46807204079989 1.0095611004234 -118.519873304273 61.5204581056222 -1.93948671944469 1.07543064142253 0.328695575684454 21.1620000839233 0.0869999974966049 1.03600001335144 -0.0390000008046627 2458217.984028 2458277.913634 0
 32 487 4 2 ZTF_r 463505721415 0 1.8732 159.258 7.97229 26.0498 0.000247041 0.0262661 0.074766 9.16072e-05 379 30. 0.057631 0.055954 20.1652 26.0498 1 2458218.0057292 487120214 -3.40249641235195 31.9239674837475 -0.118559297484237 1.04347938255451 -10.1606574785665 57.1331486743092 -0.17903949508522 1.07335188536989 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 33 435 14 1 ZTF_r 464483855315 0 1.8684 174.161 8.36027 26.0255 0.000576785 0.0309342 0.0597504 0.000226908 109 30. 0.054373 0.060881 20.0159 26.0255 1 2458218.9838542 435120253 37.5360404571995 35.2036357865647 1.186084800296 1.08693950575571 94.9056648194769 65.148722188954 1.4665653710799 1.07328131837801 0.328695575684454 21.1620000839233 0.0869999974966049 1.03600001335144 -0.0390000008046627 2458217.984028 2458277.913634 0
 34 487 4 2 ZTF_r 464484781415 0 1.8238 130.554 8.12129 25.8261 0.00039324 0.0313861 0.0615395 0.000145812 355 30. 0.060999 0.055021 19.9818 25.8261 1 2458218.9847801 487120214 -10.1053972121223 33.2570778320415 -0.338005761582355 1.00764520859512 4.25807704561904 59.0931032755303 0.0725423983831367 1.08809764559159 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 35 435 14 1 ZTF_r 464505275315 0 1.8625 209.941 7.46127 26.2165 0.00043868 0.0273558 0.0549737 0.000173283 110 30. 0.05871 0.059793 20.3687 26.2165 1 2458219.0052778 435120253 -47.9085074499087 36.3405221804577 -1.46648045326913 0.890025180253493 -19.6319325983589 64.7103797377752 -0.305424800071028 1.09081534155797 0.328695575684454 21.1620000839233 0.0869999974966049 1.03600001335144 -0.0390000008046627 2458217.984028 2458277.913634 0
 36 487 4 2 ZTF_r 464505741415 0 2.0532 156.992 7.37679 26.0568 0.000306137 0.0273182 0.0484939 0.000113082 355 30. 0.067705 0.059733 20.2341 26.0568 1 2458219.0057407 487120214 -57.6397448977204 33.194840329675 -1.93155138940514 0.993926487033537 -80.9074802094484 57.6343805986401 -1.41326055555085 1.09976737409942 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 37 486 1 3 ZTF_r 468473150315 0 2.5515 165.93 6.32588 26.0166 0.000369798 0.032178 0.0654462 0.000143322 266 30. 0.080078 0.080794 20.022 26.0166 1 2458222.9731597 486120203 3.75158324667336 33.1969855157858 0.125710264424443 0.881546439138965 90.1022722443011 52.2467784728284 1.73616668593389 1.10907459158041 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 38 486 1 3 ZTF_r 468490650315 0 2.9174 166.488 6.33943 26.029 0.000388704 0.0324717 0.0663796 0.000150074 265 30. 0.087964 0.085899 19.9212 26.029 1 2458222.9906597 486120203 -10.973050755793 37.8823183184392 -0.322214915350267 0.945567173317847 5.96747728835736 56.5337280482502 0.106266980767752 1.12794543629358 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 39 486 1 3 ZTF_r 472438370315 0 2.1205 164.535 6.32842 26.0107 0.000343447 0.0309907 0.071386 0.000133204 264 30. 0.063771 0.063662 20.2005 26.0107 1 2458226.9383796 486120203 -2.13828575093279 27.250668756616 -0.0872857561012066 0.93340904450322 -11.2763949810709 46.9345356941625 -0.241876093630276 1.08995225029114 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 40 486 1 3 ZTF_r 472479530315 0 2.4367 165.642 6.27464 26.0152 0.000395055 0.0333092 0.0709218 0.000153159 266 30. 0.081811 0.070792 20.0557 26.0152 1 2458226.979537 486120203 -13.4354304153553 32.6885763841141 -0.457204375493088 1.00537431678549 -13.7935111077846 52.860495018636 -0.262699227349427 1.10120582893763 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 41 486 1 3 ZTF_r 475440150315 0 2.6079 166.919 6.12098 26.0897 0.000329108 0.0309557 0.0371073 0.00012731 273 30. 0.080941 0.087518 20.1247 26.0897 1 2458229.9401505 486120203 -3.39388467140476 34.2083413216516 -0.110362076838306 0.994302415423965 -38.2989904996938 54.7227755439739 -0.704586637299759 1.08245521942664 0.295756649667071 21.086999797821 0.0930000022053719 1.00100004673004 0.128000006079674 2458187.034896 2458307.859282 0
 42 487 4 2 ZTF_g 475499311415 0 2.71 126.277 5.21333 26.1022 0.00209771 0.0598645 -0.0709194 0.000831125 218 30. 0.062998 0.078368 20.208 26.1022 1 2458229.9993171 487120114 -15.5076928172337 30.4877849122051 -0.565817165769216 0.929329797696475 -54.1360282516947 49.2039484606128 -1.10764764255268 1.0615533124453 null null null null null 2458206.009410 2458273.943530 57
 43 487 4 2 ZTF_r 476457681415 0 2.0864 107.172 7.04304 25.6565 0.00129775 0.059762 0.0386758 0.000481228 381 30. 0.073494 0.068833 19.6917 25.6565 1 2458230.9576852 487120214 22.2296641971891 35.70479476809 0.692565992456366 0.893890354666195 31.4928002457184 60.5035394889884 0.524017377083848 1.08331409384713 0.253167286046766 20.9560002326965 0.0649999976158142 0.606000006198883 0.0120000001043081 2458217.984491 2458290.834907 0
 44 435 14 1 ZTF_r 476458135315 0 2.3347 164.607 7.7292 25.9368 0.00210095 0.0598302 0.0572164 0.000827793 110 30. 0.076806 0.081384 19.8316 25.9368 1 2458230.9581366 435120253 46.4892669753431 36.1798768669267 1.42935601986316 0.93080822600324 53.1786921584922 60.7036671443217 0.881937718565306 1.08353996122587 0.328695575684454 21.1620000839233 0.0869999974966049 1.03600001335144 -0.0390000008046627 2458217.984028 2458277.913634 0
 45 487 4 2 ZTF_g 477457211415 0 2.8532 126.033 4.24167 25.9953 0.00219368 0.0602905 -0.00515378 0.000864729 217 30. 0.078932 0.085626 20.3127 25.9953 1 2458231.9572106 487120114 -70.8922465124887 27.2426899700125 -2.8946999395276 0.976244143307887 -69.7625604768979 40.5138906667076 -1.73353914372894 1.12326882540289 null null null null null 2458206.009410 2458273.943530 57
